begin,open,high,low,close,volume
2022-07-20 00:00:00,128.12,129.2,126.16,126.44,34762350
2022-07-21 00:00:00,126.44,126.83,122.24,125.48,53633030
2022-07-22 00:00:00,125.5,129.1,125.03,128.82,46478250
2022-07-25 00:00:00,128.9,132.0,127.24,131.45,55990880
2022-07-26 00:00:00,132.02,133.9,131.0,132.9,50351100
2022-07-27 00:00:00,132.9,134.79,131.62,132.5,42526820
2022-07-28 00:00:00,133.01,133.49,130.1,131.72,40102900
2022-07-29 00:00:00,131.65,132.75,130.31,131.9,27788260
2022-08-01 00:00:00,131.77,131.77,127.34,127.34,44322900
2022-08-02 00:00:00,126.6,128.44,125.6,127.53,44006150
2022-08-03 00:00:00,128.05,129.15,126.27,126.85,30948110
2022-08-04 00:00:00,126.94,128.13,126.16,126.95,19560540
2022-08-05 00:00:00,127.5,127.58,122.24,122.4,61176570
2022-08-08 00:00:00,126.11,127.38,123.51,123.81,53664860
2022-08-09 00:00:00,123.9,126.5,122.3,126.4,37919970
2022-08-10 00:00:00,126.25,127.29,124.87,126.2,31939910
2022-08-11 00:00:00,126.97,126.97,123.07,123.45,30949210
2022-08-12 00:00:00,123.46,124.98,122.6,124.88,27223160
2022-08-15 00:00:00,124.56,125.7,123.28,125.0,25355480
2022-08-16 00:00:00,125.2,126.86,124.53,126.39,27290920
2022-08-17 00:00:00,126.58,127.44,124.5,124.5,32888950
2022-08-18 00:00:00,124.39,126.5,123.92,126.3,25415410
2022-08-19 00:00:00,126.3,126.36,124.72,125.2,18676990
2022-08-22 00:00:00,125.0,126.69,124.7,126.06,24510110
2022-08-23 00:00:00,126.06,130.49,126.01,130.38,65419130
2022-08-24 00:00:00,130.6,131.64,127.85,128.15,45833690
2022-08-25 00:00:00,128.15,129.81,127.1,128.18,36067720
2022-08-26 00:00:00,128.02,130.5,127.62,130.4,32879870
2022-08-29 00:00:00,130.12,131.4,129.52,131.17,40911490
2022-08-30 00:00:00,131.17,132.6,129.65,130.05,51084490
2022-08-31 00:00:00,132.3,138.34,131.5,134.25,107450510
2022-09-01 00:00:00,133.99,138.22,132.02,138.2,54942470
2022-09-02 00:00:00,138.8,144.9,136.22,143.8,136891810
2022-09-05 00:00:00,143.5,145.1,139.11,141.0,87603050
2022-09-06 00:00:00,140.9,141.07,135.22,137.23,86674520
2022-09-07 00:00:00,136.96,139.19,135.41,136.86,60753730
2022-09-08 00:00:00,136.69,137.4,134.0,134.51,57744420
2022-09-09 00:00:00,134.41,138.47,134.23,138.15,49115280
2022-09-12 00:00:00,137.07,140.37,136.8,138.7,52610620
2022-09-13 00:00:00,138.7,139.37,136.15,137.0,44582700
2022-09-14 00:00:00,136.6,139.29,135.2,138.9,62838520
2022-09-15 00:00:00,139.15,140.28,137.61,139.48,56243810
2022-09-16 00:00:00,139.37,141.39,136.8,137.73,71799280
2022-09-19 00:00:00,137.4,139.08,137.07,138.04,33272190
2022-09-20 00:00:00,137.87,138.35,122.42,125.1,208947780
2022-09-21 00:00:00,112.5,123.98,109.27,120.23,136625430
2022-09-22 00:00:00,120.25,126.95,120.25,124.31,117479960
2022-09-23 00:00:00,124.49,124.5,117.35,119.39,85906070
2022-09-26 00:00:00,114.0,117.99,105.0,107.06,148638170
2022-09-27 00:00:00,110.0,113.89,107.07,112.92,90981060
2022-09-28 00:00:00,112.0,115.2,109.13,111.06,77969660
2022-09-29 00:00:00,111.59,112.2,107.68,110.41,67487760
2022-09-30 00:00:00,111.0,113.4,103.4,110.21,133569040
2022-10-03 00:00:00,110.62,114.65,109.0,114.35,73960960
2022-10-04 00:00:00,115.06,115.5,110.3,110.55,83564680
2022-10-05 00:00:00,110.49,110.49,106.25,108.51,90416920
2022-10-06 00:00:00,108.65,110.38,107.57,108.24,51741480
2022-10-07 00:00:00,107.7,108.48,101.3,101.5,90989490
2022-10-10 00:00:00,96.55,106.77,96.5,106.71,117465350
2022-10-11 00:00:00,106.5,108.3,104.26,107.72,76962080
2022-10-12 00:00:00,108.27,108.5,105.25,105.9,63378400
2022-10-13 00:00:00,105.72,107.3,104.8,106.5,46849810
2022-10-14 00:00:00,106.92,109.19,105.69,107.78,52565400
2022-10-17 00:00:00,107.93,112.76,107.65,112.44,78496550
2022-10-18 00:00:00,113.05,114.37,110.48,110.88,101854810
2022-10-19 00:00:00,110.12,112.93,109.3,112.39,90693010
2022-10-20 00:00:00,112.75,117.2,112.37,116.98,100723600
2022-10-21 00:00:00,116.93,119.94,114.37,119.45,102382050
2022-10-24 00:00:00,120.15,121.68,117.65,118.8,74539310
2022-10-25 00:00:00,118.84,125.2,118.3,124.36,114156750
2022-10-26 00:00:00,124.7,126.88,122.1,124.43,108495360
2022-10-27 00:00:00,124.75,127.5,123.68,126.61,87915140
2022-10-28 00:00:00,126.14,127.25,124.6,126.97,73660000
2022-10-31 00:00:00,127.2,128.6,125.41,126.72,60762870
2022-11-01 00:00:00,127.2,127.97,126.12,127.05,36820880
2022-11-02 00:00:00,127.06,127.74,123.75,125.49,40216620
2022-11-03 00:00:00,125.4,126.1,123.91,125.75,47720130
2022-11-07 00:00:00,127.09,132.0,126.5,132.0,91709630
2022-11-08 00:00:00,132.0,133.11,130.1,131.29,69556040
2022-11-09 00:00:00,131.06,131.47,126.42,127.3,64961510
2022-11-10 00:00:00,131.0,136.69,129.77,136.68,171748310
2022-11-11 00:00:00,137.9,138.42,135.13,136.98,75710240
2022-11-14 00:00:00,137.5,140.7,135.83,139.8,82521030
2022-11-15 00:00:00,140.49,141.0,130.86,135.66,145543250
2022-11-16 00:00:00,136.99,139.73,136.32,139.18,67090170
2022-11-17 00:00:00,139.09,140.35,136.6,137.57,59160240
2022-11-18 00:00:00,137.08,137.81,135.84,136.89,44076540
2022-11-21 00:00:00,136.01,136.3,132.51,134.46,83599930
2022-11-22 00:00:00,134.55,136.0,133.81,135.65,45822990
2022-11-23 00:00:00,135.7,137.55,134.5,136.59,52302020
2022-11-24 00:00:00,137.0,138.41,136.12,136.61,42388720
2022-11-25 00:00:00,137.2,137.24,135.41,136.53,29618830
2022-11-28 00:00:00,135.02,136.2,134.1,135.53,45275110
2022-11-29 00:00:00,136.29,137.2,135.88,136.37,31648090
2022-11-30 00:00:00,136.5,136.78,135.23,136.78,26816190
2022-12-01 00:00:00,137.1,137.95,136.31,137.15,33056500
2022-12-02 00:00:00,136.99,137.1,136.17,136.66,19261670
2022-12-05 00:00:00,136.66,142.68,136.25,142.0,103930500
2022-12-06 00:00:00,142.2,143.37,139.11,140.61,51823300
2022-12-07 00:00:00,140.5,142.81,138.36,142.32,69885670
2022-12-08 00:00:00,143.5,143.6,139.8,139.92,64056510
2022-12-09 00:00:00,139.7,140.7,139.24,140.03,29441490
2022-12-12 00:00:00,140.19,140.87,138.7,139.48,33477470
2022-12-13 00:00:00,139.67,139.93,136.67,138.13,52200510
2022-12-14 00:00:00,138.28,138.28,136.6,137.3,34074890
2022-12-15 00:00:00,136.99,137.08,134.3,134.55,54791650
2022-12-16 00:00:00,134.5,136.09,134.13,135.45,32802120
2022-12-19 00:00:00,135.13,136.73,132.86,134.64,58826130
2022-12-20 00:00:00,134.51,138.4,134.41,138.28,45017120
2022-12-21 00:00:00,138.7,139.12,135.81,137.75,45542340
2022-12-22 00:00:00,137.99,138.97,137.0,137.69,30562140
2022-12-23 00:00:00,137.49,138.26,136.81,137.94,22908110
2022-12-26 00:00:00,138.33,141.0,138.0,140.95,49379370
2022-12-27 00:00:00,141.31,142.0,139.6,139.9,41654530
2022-12-28 00:00:00,139.73,140.4,138.6,139.51,28045010
2022-12-29 00:00:00,139.5,141.65,139.22,140.96,32059860
2022-12-30 00:00:00,140.8,141.48,140.13,141.15,28175080
2023-01-03 00:00:00,141.6,143.25,141.56,141.78,21098550
2023-01-04 00:00:00,141.85,142.28,140.75,141.43,17112740
2023-01-05 00:00:00,141.6,141.84,140.54,141.27,17245300
2023-01-06 00:00:00,141.39,141.62,140.9,141.4,10657600
2023-01-09 00:00:00,141.83,142.99,141.65,142.4,31449160
2023-01-10 00:00:00,142.1,142.85,141.31,142.81,23718180
2023-01-11 00:00:00,142.97,149.98,142.87,149.96,123147040
2023-01-12 00:00:00,150.02,150.79,148.39,149.3,46789300
2023-01-13 00:00:00,149.58,153.28,147.71,151.69,88520210
2023-01-16 00:00:00,152.89,154.0,151.88,153.71,51753920
2023-01-17 00:00:00,154.0,154.31,150.01,150.45,84404770
2023-01-18 00:00:00,150.4,153.0,149.41,151.47,67511970
2023-01-19 00:00:00,151.2,152.85,148.56,149.34,66813960
2023-01-20 00:00:00,149.7,151.4,148.64,151.38,44254820
2023-01-23 00:00:00,151.9,154.1,151.01,153.5,55198870
2023-01-24 00:00:00,153.95,155.58,152.28,152.66,78734130
2023-01-25 00:00:00,152.45,153.6,151.5,152.81,43376700
2023-01-26 00:00:00,153.32,154.3,151.73,152.4,45513320
2023-01-27 00:00:00,152.4,153.48,151.69,153.2,34123690
2023-01-30 00:00:00,153.5,153.88,152.21,153.38,31105220
2023-01-31 00:00:00,153.51,158.18,153.3,158.07,77890320
2023-02-01 00:00:00,158.2,159.6,156.5,158.29,66332200
2023-02-02 00:00:00,158.4,160.29,157.37,159.45,53866380
